Author
"Shakespeare, William (76895)"
"Smollett, T. (Tobias) (74218)"
"Forster, E. M. (Edward Morgan) (30925)"
"Montgomery, L. M. (Lucy Maud) (30907)"
"Alcott, Louisa May (30904)"
"Eliot, George (30539)"
"Melville, Herman (30109)"
"Dumas, Alexandre (29680)"
"Rizal, José (27884)"
"Merrill, Frank T. (27238)"
"Von Arnim, Elizabeth (26739)"
"Gaskell, Elizabeth Cleghorn (26594)"
"Brock, C. E. (Charles Edmund) (25207)"
"Fielding, Henry (24804)"
"Wagner, Richard (23197)"
"Dickens, Charles (22280)"
"Austen, Jane (21664)"
"Wilde, Oscar (17400)"
"Shelley, Mary Wollstonecraft (16901)"
"Twain, Mark (15002)"
"Doyle, Arthur Conan (13092)"
"Dostoyevsky, Fyodor (12116)"
"Poblete, Pascual Hicaro (10950)"
"Garnett, Constance (10794)"
"Stevenson, Robert Louis (10732)"
"Carroll, Lewis (10684)"
"Ibsen, Henrik (9963)"
"Nietzsche, Friedrich Wilhelm (9910)"
"Wells, H. G. (Herbert George) (9253)"
Plato (8993)
"Tolstoy, Leo, graf (8987)"
"Jowett, Benjamin (8529)"
Homer (8363)
"Fitzgerald, F. Scott (Francis Scott) (8065)"
"Mariano, Patricio (7781)"
"Derbyshire, Charles E. (7240)"
"Swift, Jonathan (6631)"
"Hawthorne, Nathaniel (6553)"
"Stoker, Bram (6492)"
"Kafka, Franz (6287)"
"Joyce, James (6279)"
"Chesterton, G. K. (Gilbert Keith) (6103)"
"Kipling, Rudyard (5887)"
"Verne, Jules (5772)"
"Baum, L. Frank (Lyman Frank) (5589)"
"Christie, Agatha (5317)"
"London, Jack (5288)"
"Conrad, Joseph (5219)"
"Poe, Edgar Allan (5208)"
"Wyllie, David (Translator) (5149)"
"Widger, David (5070)"
"Burroughs, Edgar Rice (5069)"
Dante Alighieri (5034)
"Doré, Gustave (4978)"
"Pope, Alexander (4723)"
"Russell, Bertrand (4702)"
"Maude, Aylmer (4635)"
"James, Henry (4596)"
"Lang, Andrew (4563)"
"Maude, Louise (4537)"
"Shaw, Bernard (4506)"
"Chekhov, Anton Pavlovich (4394)"
"Hugo, Victor (4393)"
"Gilman, Charlotte Perkins (4379)"
"Cervantes Saavedra, Miguel de (4360)"
"Barrie, J. M. (James Matthew) (4243)"
"Butler, Samuel (4140)"
"Goethe, Johann Wolfgang von (4129)"
"Brontë, Charlotte (4008)"
"Burton, Richard Francis, Sir (3999)"
"Grimm, Wilhelm (3969)"
"Grimm, Jacob (3969)"
"Defoe, Daniel (3965)"
"Morley, Henry (3751)"
"Foote, Mary Hallock (3571)"
"Balzac, Honoré de (3542)"
"Ipsen, Ludvig Sandöe (3529)"
"Anthony, A. V. S. (Andrew Varick Stout) (3529)"
"Clark, William George (3439)"
"Kemble, E. W. (Edward Windsor) (3367)"
"Glover, John, librarian of Trinity College, Cambridge (3357)"
"Du Bois, W. E. B. (William Edward Burghardt) (3348)"
"Levy, Oscar (3326)"
"Hardy, Thomas (3310)"
"Craig, Austin (3298)"
"Scott, Walter (3250)"
"Townsend, F. H. (Frederick Henry) (3249)"
"Machiavelli, Niccolò (3223)"
"Kant, Immanuel (3182)"
"Buckley, Theodore Alois (3157)"
"Garrett, Randall (3141)"
"Thoreau, Henry David (3133)"
"Ormsby, John (3106)"
"Emshwiller, Ed (3041)"
"Burnett, Frances Hodgson (3012)"
"Balagtas, Francisco (3011)"
"Marcus Aurelius, Emperor of Rome (3008)"
"Wodehouse, P. G. (Pelham Grenville) (3004)"
"Wharton, Edith (2994)"
"Ronquillo y Valdez, Carlos (2981)"
