Author
"Shakespeare, William (76895)"
"Alcott, Louisa May (30904)"
"Dumas, Alexandre (29680)"
"Dickens, Charles (22280)"
"Austen, Jane (21664)"
"Wilde, Oscar (17400)"
"Twain, Mark (15002)"
"Doyle, Arthur Conan (13092)"
"Dostoyevsky, Fyodor (12116)"
"Nietzsche, Friedrich Wilhelm (9910)"
"Wells, H. G. (Herbert George) (9253)"
"Kafka, Franz (6287)"
"Verne, Jules (5772)"
"Christie, Agatha (5317)"
"Poe, Edgar Allan (5208)"
"Hugo, Victor (4393)"
"Brontë, Charlotte (4008)"
"Marcus Aurelius, Emperor of Rome (3008)"
