Author,Paragraph
"Baum, L. Frank (Lyman Frank)","""How can we get under it when it rests on the bottom of the lake?""
asked the Sorceress."
"Balzac, Honoré de","
Curtain to the Second Act."
"Balzac, Honoré de","The Duke
Be careful what you say, for you waken in me terrible memories. And
your last word shows me that you will not shrink from causing a
scandal that will overwhelm all of us with shame. Shall we air in
public courts past occurrences which will show that I am not free from
reproach, while you are infamous? (He turns to Mademoiselle de
Vaudrey) She cannot have told you everything, dear aunt? She was in
love with Viscount Langeac; I knew it, and respected her love; I was
so young! The viscount came to me; being without hope of inheriting a
fortune, and the last representative of his house, he unselfishly
offered to give up Louise de Vaudrey. I trusted in their mutual
generosity, and accepted her as a pure woman from his hands. Ah! I
would have given my life for her, and I have proved it! The wretched
man performed prodigies of valor on the Tenth of August, and called
down upon himself the rage of the mob; I put him under the protection
of some of my people; he was, however, discovered and taken to the
Abbaye. As soon as I learned his predicament, I gave into the hands of
a certain Boulard all the money I had collected for our flight! I
induced Boulard to join the Septembrists in order to save the viscount
from death; I procured his escape! (To the duchess) He paid me back
well, did he not? I was young, madly in love, impetuous, yet I never
crushed the boy! You have to-day made me the same requital for my
pity, as your lover made for my trust in him. Well--things remain just
as they were twenty years ago excepting that the time for pity is
past. And I will repeat what I said to you then: Forget your son, and
he shall live."
"Baum, L. Frank (Lyman Frank)","""What do you mean by sub-sub-merging the island?"" asked Dorothy."
"Austen, Jane","“Dear Lady Scudamore cried I, This is more than I ever knew!”"
"Balzac, Honoré de","Lafouraille (aside)
Yes, on account of my eighty thousand francs. (Aloud) And do you wish
me to shadow my master?"
"Barrie, J. M. (James Matthew)","""I canna sleep at nights for wondering who Lizzie is to get,"" Janet
admitted to me. So in order to preserve her health Janet studied the
affair, reflected on the kind of people Lizzie was likely to meet in
Glasgow, asked Lizzie to the manse to tea (with no result), and then
asked Lizzie's mother (victory). Lizzie was to be married to a sailor."
"Balzac, Honoré de","Vautrin
Yes."
"Balzac, Honoré de","Vautrin
That would be dangerous, if he has your secret; for he is tricky."
"Balzac, Honoré de","Raoul
Crustamente!"
"Austen, Jane","“They are so much alike (said he) that I should suppose the faults of
one, would be the faults of both.”"
"Baum, L. Frank (Lyman Frank)","""I love to transform things; it's so interesting. And I've never
transformed any fishes in all my life."""
"Barrie, J. M. (James Matthew)","""It was never cleared up,"" said Tom. ""But why,"" he added, ""do you return
to this subject?"""
"Balzac, Honoré de","Vautrin
And you accompanied me as my footman to the field marshal's; while
helping me on with my cloak, you stole the watch of the Cossack
prince."
"Baum, L. Frank (Lyman Frank)","""Yes."""
"Barrie, J. M. (James Matthew)","Mr. Barrie's greatest book, however, was yet to come. ""A Window in
Thrums"" was published in May, 1889. It contained articles contributed to
the _National Observer_, _The British Weekly_, and the _St. James's
Gazette_, along with new matter. It is not too much to say that it was
received with one burst of acclamation. It has been the most popular of
the author's works, and it is hard to conceive how he can surpass
certain parts of it. It has found admirers among all classes."
"Baum, L. Frank (Lyman Frank)","""I am Princess Ozma of Oz, and I have come from the Emerald City to--"""
"Balzac, Honoré de","Raoul
I am resolved to accept nothing, unless my honor--"
"Balzac, Honoré de","Saint-Charles
I am a private detective, whom his grace the duke distrusts, and I am
hired for clearing up mysterious occurrences."
"Balzac, Honoré de","The Duke
Since you broke the agreement we made. You swore to take no steps to
find this--your son. This was the sole condition on which I promised
to let him live."
"Balzac, Honoré de","The Duchess
What a horrible proof--his death! And the assassin stands before us."
"Barrie, J. M. (James Matthew)","I gazed at It from behind the curtain; Its eyes were wide open, and you
could see quite well that It was reflecting what It ought to do next. As
long as It did not come out I felt safe, for It could not see me.
Something funny seemed to strike It, and It laughed heartily. After a
time It tried to sit up. Fortunately Its head was so heavy that It
always lost its balance just as It seemed on the point of succeeding.
When It saw that It could not rise, It reflected again, and then all of
a sudden It put Its fist into Its mouth. I gazed in horror; soon only
the wrist was to be seen, and I saw that It would choke in another
minute. Just for a second I thought that I would let It do as It liked.
Then I cried out, ""Don't do that!"" and came out from behind the curtain.
Slowly It moved Its fist and there we were, looking at each other."
"Barrie, J. M. (James Matthew)","In a magazine we observe an article extolling the pleasures of walking
in a wood. That walking in a wood may be pleasant we do not deny, but
for our own part we avoid woods. More draughty places could not well be
imagined and many a person who has walked in a wood has had cause to
repent it for the rest of his life."
"Barrie, J. M. (James Matthew)","We find prevalent among our readers an impression that country life is
comparatively safe. This mistake has cost Great Britain many lives. The
country is so full of hidden dangers that one may be said to risk his
health every time he ventures into it."
"Austen, Jane","
MY DEAR CLARA"
"Austen, Jane",EDWARD the 5th
"Baum, L. Frank (Lyman Frank)",
"Baum, L. Frank (Lyman Frank)","They now climbed the bank and found before them a delightful plain that
spread for miles in all directions. Fragrant wild flowers were
scattered throughout the grass; there were bushes bearing lovely
blossoms and luscious fruits; now and then a group of stately trees
added to the beauty of the landscape. But there were no dwellings or
signs of life."
"Alcott, Louisa May","""Do!"" and Becky threw off the sunbonnet, folded her hands round her
knees, and composed herself to listen with such perfect unconsciousness
of what was coming that Emily both laughed at the joke and blushed at
the liberty she felt she was taking with the poor girl's carefully
hidden secret."
"Balzac, Honoré de","
SCENE EIGHTH
The same persons and the Marquis de Montsorel."
"Balzac, Honoré de","The Duke
There are three of us here who would be well pleased to have it. You
alone, ladies, would be discreet, for discretion is a virtue the
possession of which profits only those who require it in others."
"Balzac, Honoré de","
SCENE FOURTH.
Joseph and Vautrin."
"Balzac, Honoré de","Saint-Charles
Does he cheat?"
"Baum, L. Frank (Lyman Frank)","The palms were not far from the mountain and the girls reached them
after a brisk walk. The huge trees were set close together, in three
rows, and had been planted so as to keep people from passing them, but
the Flatheads had cut a passage through this barrier and Ozma found the
path and led Dorothy to the other side."
"Balzac, Honoré de","Inez (to her mother)
Mother, allow me to go and read my father's letter. (To Vautrin)
General-- (She bows.)"
"Barrie, J. M. (James Matthew)","Like most literary people who put their friends into books, she is very
modest, and it never seems to strike her that I would come all this way
to see her."
